Book_ID,Title,Author,Category,Cabinet,Rack,Row,Signal_Strength,Timestamp,Status,Price,Availability
B001,The Adventures of Chronicles,Jordan Brown,Programming,4,5,4,-59,11-12-2024 10:01,Present,202,TRUE
B002,The Dream of Shadows,Taylor Walker,History,3,3,5,-42,11-12-2024 10:02,Missing,535,FALSE
B003,The Shadows of Mystery,Jordan Johnson,Science,5,3,4,-47,11-12-2024 10:03,Checked Out,960,FALSE
B004,The Chronicles of Dream,Casey Walker,Fiction,4,1,1,-60,11-12-2024 10:04,Missing,370,FALSE
B005,The Future of Adventures,Skyler Lee,Programming,3,4,2,-58,11-12-2024 10:05,Missing,206,FALSE
B006,The Chronicles of Chronicles,Skyler Smith,Thriller,4,2,4,-53,11-12-2024 10:06,Present,171,TRUE
B007,The Journey of Adventures,Morgan Hall,Fiction,2,5,1,-57,11-12-2024 10:07,Missing,800,FALSE
B008,The Legacy of Quest,Alex Clark,Science,3,3,2,-54,11-12-2024 10:08,Missing,120,TRUE
B009,The Mystery of Dream,Jordan Anderson,Fiction,1,5,4,-55,11-12-2024 10:09,Present,714,TRUE
B010,The Adventures of Shadows,Dakota Taylor,Programming,5,1,3,-45,11-12-2024 10:10,Checked Out,221,FALSE
B011,The Shadows of Adventures,Riley Clark,Fiction,2,5,2,-42,11-12-2024 10:11,Checked Out,566,FALSE
B012,The Future of Dream,Riley Hall,Fiction,4,2,5,-40,11-12-2024 10:12,Checked Out,314,FALSE
B013,The Code of Shadows,Quinn Walker,Thriller,1,3,1,-53,11-12-2024 10:13,Missing,430,FALSE
B014,The Code of Journey,Skyler Walker,Thriller,3,1,5,-52,11-12-2024 10:14,Checked Out,558,FALSE
B015,The Mystery of Shadows,Morgan Clark,Science,2,4,1,-40,11-12-2024 10:15,Missing,187,FALSE
B016,The Future of Shadows,Skyler Hall,Programming,1,4,2,-50,11-12-2024 10:16,Checked Out,472,FALSE
B017,The Chronicles of Legacy,Taylor Clark,Thriller,5,1,2,-45,11-12-2024 10:17,Checked Out,199,FALSE
B018,The Mystery of Legacy,Casey Smith,Fiction,3,5,2,-41,11-12-2024 10:18,Present,971,TRUE
B019,The Future of Mystery,Casey Hall,Fiction,4,1,5,-48,11-12-2024 10:19,Missing,763,FALSE
B020,The Adventures of Shadows,Alex Walker,Thriller,2,3,4,-50,11-12-2024 10:20,Missing,230,FALSE
B021,The Quest of Chronicles,Jordan Smith,Programming,5,2,1,-42,11-12-2024 10:21,Checked Out,761,TRUE
